date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-05-15 00:00:00.000	2012-05-15 14:55:03.769	2012-05-15 17:04:51.130	1337040000000	1337093703769	1337101491130	15	963330	6780744	0	1	21	5	4	2	4	3	3	22	0	0	
2012-05-16 00:00:00.000	2012-05-16 07:56:09.276	2012-05-16 17:05:13.045	1337126400000	1337154969276	1337187913045	154	1634133	29973928	0	11	34	10	8	5	3	4	4	39	0	0	
2012-05-17 00:00:00.000	2012-05-17 07:56:16.840	2012-05-17 23:59:56.302	1337212800000	1337241376840	1337299196302	5968	1150626	39102048	0	249	27	2	12	1	2	6	4	267	0	0	
2012-05-18 00:00:00.000	2012-05-18 00:00:09.319	2012-05-18 19:52:57.616	1337299200000	1337299209319	1337370777616	7837	2771313	62959982	0	144	48	9	12	5	3	10	9	192	0	0	
2012-05-19 00:00:00.000	2012-05-19 07:55:48.132	2012-05-19 09:39:12.566	1337385600000	1337414148132	1337420352566	99	0	5348086	0	5	0	0	0	0	0	0	0	5	0	0	
2012-05-20 00:00:00.000	2012-05-20 06:31:00.060	2012-05-20 23:59:59.029	1337472000000	1337495460060	1337558399029	19	10394352	52179615	0	1	182	35	47	27	20	29	24	183	0	0	
2012-05-21 00:00:00.000	2012-05-21 00:00:12.050	2012-05-21 21:59:46.258	1337558400000	1337558412050	1337637586258	0	1413573	77710510	0	0	25	2	8	4	3	5	3	26	0	0	
2012-05-22 00:00:00.000	2012-05-22 06:30:48.252	2012-05-22 21:59:37.613	1337644800000	1337668248252	1337723977613	80	3563564	50720627	0	4	64	9	16	10	5	8	16	67	0	0	
2012-05-23 00:00:00.000	2012-05-23 06:30:29.050	2012-05-23 21:59:27.856	1337731200000	1337754629050	1337810367856	39	4489437	50694776	0	2	80	10	30	9	7	13	11	79	0	0	
2012-05-24 00:00:00.000	2012-05-24 06:30:21.022	2012-05-24 21:59:07.112	1337817600000	1337841021022	1337896747112	98	13874037	35550765	0	5	243	36	73	37	31	34	32	246	0	0	
2012-05-25 00:00:00.000	2012-05-25 06:30:20.398	2012-05-25 21:58:58.205	1337904000000	1337927420398	1337983138205	38	20127629	34958332	0	2	348	62	89	45	46	52	54	342	0	0	
2012-05-26 00:00:00.000	2012-05-26 06:30:12.519	2012-05-26 21:58:54.744	1337990400000	1338013812519	1338069534744	38	15831814	38161468	0	2	279	42	64	38	48	45	42	279	0	0	
2012-05-27 00:00:00.000	2012-05-27 06:30:08.053	2012-05-27 14:24:08.830	1338076800000	1338100208053	1338128648830	40	11628398	16687705	0	2	205	27	55	30	26	33	34	200	0	0	
2012-05-28 00:00:00.000	2012-05-28 09:39:12.167	2012-05-28 21:59:12.462	1338163200000	1338197952167	1338242352462	62	20368137	21689118	0	3	355	55	79	51	48	62	60	351	0	0	
2012-05-29 00:00:00.000	2012-05-29 06:30:12.545	2012-05-29 21:59:07.336	1338249600000	1338273012545	1338328747336	1077	12280284	40539384	37	55	265	44	73	39	42	36	31	269	52	52	
2012-05-30 00:00:00.000	2012-05-30 09:10:49.333	2012-05-30 21:58:55.216	1338336000000	1338369049333	1338415135216	871	12995699	32542281	29	44	271	47	60	38	45	46	35	271	43	43	
2012-05-31 00:00:00.000	2012-05-31 06:29:51.498	2012-05-31 21:58:34.981	1338422400000	1338445791498	1338501514981	919	12875686	42392544	29	48	272	34	63	36	45	47	47	271	47	47	
2012-06-01 00:00:00.000	2012-06-01 06:29:41.379	2012-06-01 21:58:48.385	1338508800000	1338532181379	1338587928385	1439	18095965	36780865	43	75	391	62	95	51	60	63	60	392	73	73	
2012-06-02 00:00:00.000	2012-06-02 06:29:53.283	2012-06-02 21:58:43.564	1338595200000	1338618593283	1338674323564	841	10957101	44466058	26	44	237	34	49	35	39	33	47	235	43	43	
2012-06-03 00:00:00.000	2012-06-03 06:29:31.522	2012-06-03 23:59:51.688	1338681600000	1338704971522	1338767991688	836	16325519	46455299	35	43	312	39	72	44	54	51	52	305	42	42	
2012-06-04 00:00:00.000	2012-06-04 00:00:04.700	2012-06-04 21:58:08.314	1338768000000	1338768004700	1338847088314	1041	18451657	60368264	39	54	372	53	76	62	65	56	60	364	55	55	
2012-06-05 00:00:00.000	2012-06-05 06:29:24.508	2012-06-05 21:58:12.822	1338854400000	1338877764508	1338933492822	1356	17104653	38093717	42	71	365	60	78	50	59	58	60	359	73	70	
2012-06-06 00:00:00.000	2012-06-06 06:29:19.266	2012-06-06 21:58:27.986	1338940800000	1338964159266	1339019907986	1306	14906815	40421488	45	69	326	48	69	49	53	52	55	321	68	67	
2012-06-07 00:00:00.000	2012-06-07 06:29:12.568	2012-06-07 21:58:00.665	1339027200000	1339050552568	1339106280665	1213	17988385	37682177	42	63	375	59	66	58	72	57	63	369	63	62	
2012-06-08 00:00:00.000	2012-06-08 06:29:09.289	2012-06-08 21:57:52.416	1339113600000	1339136949289	1339192672416	1527	18363532	36767624	58	80	401	63	83	70	68	61	56	397	81	81	
2012-06-09 00:00:00.000	2012-06-09 06:29:05.647	2012-06-09 21:58:14.413	1339200000000	1339223345647	1339279094413	874	16495963	38794639	33	46	338	49	86	44	62	49	48	334	46	46	
2012-06-10 00:00:00.000	2012-06-10 06:29:15.220	2012-06-10 23:59:47.750	1339286400000	1339309755220	1339372787750	1223	16334752	46195601	43	63	351	47	84	59	63	55	43	348	62	62	
2012-06-11 00:00:00.000	2012-06-11 00:00:00.765	2012-06-11 21:57:38.251	1339372800000	1339372800765	1339451858251	1141	15123513	62543699	36	58	321	51	65	50	51	57	47	323	55	55	
2012-06-12 00:00:00.000	2012-06-12 06:28:48.263	2012-06-12 21:57:53.953	1339459200000	1339482528263	1339538273953	1200	15452313	39499896	30	63	331	50	70	46	49	61	55	332	63	62	
2012-06-13 00:00:00.000	2012-06-13 06:28:44.189	2012-06-13 21:57:31.150	1339545600000	1339568924189	1339624651150	717	13288594	41887471	23	37	270	38	59	46	43	44	40	271	36	36	
2012-06-14 00:00:00.000	2012-06-14 06:28:38.416	2012-06-14 21:57:44.678	1339632000000	1339655318416	1339711064678	1036	14340704	41035335	34	54	306	45	71	43	56	42	49	302	54	54	
2012-06-15 00:00:00.000	2012-06-15 06:28:33.626	2012-06-15 21:57:15.685	1339718400000	1339741713626	1339797435685	1451	20621865	34455849	51	76	435	71	93	66	52	75	78	431	75	75	
2012-06-16 00:00:00.000	2012-06-16 06:28:30.713	2012-06-16 21:57:11.242	1339804800000	1339828110713	1339883831242	1021	15021902	40272253	39	53	318	60	83	56	42	39	38	315	52	52	
2012-06-17 00:00:00.000	2012-06-17 06:28:40.300	2012-06-17 23:59:55.652	1339891200000	1339914520300	1339977595652	1371	16153426	46643576	45	72	352	52	82	49	47	58	64	345	72	72	
2012-06-18 00:00:00.000	2012-06-18 00:00:08.664	2012-06-18 21:57:03.947	1339977600000	1339977608664	1340056623947	1205	16512925	61790080	40	63	349	42	79	67	54	58	49	348	61	61	
2012-06-19 00:00:00.000	2012-06-19 06:28:30.368	2012-06-19 21:56:55.546	1340064000000	1340087310368	1340143015546	888	14429427	40670720	29	47	298	48	66	41	44	54	45	297	48	47	
2012-06-20 00:00:00.000	2012-06-20 06:28:10.421	2012-06-20 21:56:50.684	1340150400000	1340173690421	1340229410684	663	8952155	46250658	27	35	189	29	41	30	26	32	31	191	34	34	
2012-06-21 00:00:00.000	2012-06-21 06:28:05.052	2012-06-21 21:56:46.210	1340236800000	1340260085052	1340315806210	1133	16416965	38601508	35	59	347	53	74	56	47	53	64	347	59	59	
2012-06-22 00:00:00.000	2012-06-22 06:28:15.175	2012-06-22 21:56:40.805	1340323200000	1340346495175	1340402200805	1412	20451833	34452169	55	74	430	53	103	66	64	76	68	427	76	76	
2012-06-23 00:00:00.000	2012-06-23 06:27:57.235	2012-06-23 21:57:04.021	1340409600000	1340432877235	1340488624021	1020	17635791	37614315	34	54	342	52	78	61	45	52	54	339	54	54	
2012-06-24 00:00:00.000	2012-06-24 06:28:05.606	2012-06-24 23:59:51.841	1340496000000	1340519285606	1340582391841	1345	16521805	46065061	49	71	361	54	86	54	59	58	50	358	72	72	
2012-06-25 00:00:00.000	2012-06-25 00:00:04.853	2012-06-25 21:56:44.725	1340582400000	1340582404853	1340661404725	92	14259283	63625340	60	5	255	32	63	41	44	36	39	253	5	3	
2012-06-26 00:00:00.000	2012-06-26 06:27:38.066	2012-06-26 21:56:27.601	1340668800000	1340692058066	1340747787601	75	14721008	40435987	93	4	263	22	52	33	31	31	94	263	6	3	
