date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_total_millis,duration_init_millis,duration_active_millis,duration_idle_millis,duration_other_millis,num_init_periods,num_active_periods,num_idle_periods,num_theme_selections,num_interest_point_selections,themeNone,theme0,theme1,theme2,theme3,theme4,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10,ip11,ip12,ip13,ip14,media-panel-close,media-play,media-pause,media-ended,media-time-changed,nav-reset-home-view,themes-panel-drawer-open,themes-panel-drawer-close,play_auroch_hunt.ogv,play_onager_mother_and_foal.ogv,play_hunting_dog_party.ogv,play_aurochs_horns.ogv,play_asian_onager.ogv,play_cloaked_hunter.ogv,play_aurochs.webm,play_beard_3672.webm,play_olsen_3649.webm,play_abdulaziz_3736.webm,play_khan_3745.webm,play_beard_3670.webm,
2012-11-20 00:00:00.000,2012-11-20 12:16:52.427,2012-11-20 16:46:36.194,1353387600000,1353431812427,1353447996194,16183767,410,6396214,8546265,1240878,18,27,35,90,81,16,18,20,12,16,8,7,14,9,4,2,7,2,3,6,4,7,13,0,3,23,19,19,3,1,143,55,51,3,2,0,2,1,1,3,2,0,2,1,2,
2012-11-21 00:00:00.000,2012-11-21 09:34:36.119,2012-11-21 14:57:39.707,1353474000000,1353508476119,1353527859707,19383588,20,7332231,12051337,0,1,20,21,21,110,7,2,4,3,1,4,22,11,6,6,2,12,1,5,11,3,14,6,3,8,12,0,0,0,0,68,31,21,0,0,0,0,0,0,0,0,0,0,0,0,
2012-11-23 00:00:00.000,2012-11-23 08:58:15.736,2012-11-23 16:44:16.071,1353646800000,1353679095736,1353707056071,27960335,19,16391225,11569091,0,1,33,34,207,270,75,32,26,15,25,34,20,23,15,20,6,42,14,18,12,11,42,29,7,11,34,40,40,10,13,418,187,153,4,6,1,3,0,4,4,1,3,4,3,7,
2012-11-24 00:00:00.000,2012-11-24 09:23:41.900,2012-11-24 16:56:18.505,1353733200000,1353767021900,1353794178505,27156605,21,12480086,14676498,0,1,26,27,141,212,46,28,21,13,12,21,24,21,10,11,15,17,16,9,9,6,28,16,15,15,60,27,27,11,6,233,89,86,2,4,1,2,3,4,3,2,2,2,1,1,
2012-11-25 00:00:00.000,2012-11-25 11:32:54.431,2012-11-25 16:47:23.871,1353819600000,1353861174431,1353880043871,18869440,19,5270580,13598841,0,1,15,16,72,73,24,10,18,8,5,7,5,8,4,10,5,5,3,3,4,2,2,11,3,8,6,10,10,5,10,113,38,32,0,3,1,1,1,0,1,0,1,0,0,2,
2012-11-26 00:00:00.000,2012-11-26 14:38:16.399,2012-11-26 14:52:10.564,1353906000000,1353958696399,1353959530564,834165,41,602680,11282,220162,2,2,2,14,21,0,3,3,3,3,2,2,1,1,2,1,2,4,1,0,1,4,0,0,2,6,1,1,0,0,34,11,12,0,0,0,1,0,0,0,0,0,0,0,0,
2012-11-27 00:00:00.000,2012-11-27 09:17:37.206,2012-11-27 15:44:54.547,1353992400000,1354025857206,1354049094547,23237341,162,4971290,17378922,886967,5,14,15,52,63,9,9,11,8,10,5,13,3,3,2,6,6,3,3,3,6,7,3,4,1,21,19,19,1,10,90,40,39,2,2,1,2,0,1,0,2,4,2,2,1,
2012-11-28 00:00:00.000,2012-11-28 09:14:37.918,2012-11-28 17:22:02.595,1354078800000,1354112077918,1354141322595,29244677,124,4452742,24693486,98325,2,15,16,40,38,7,6,6,7,7,7,3,2,3,1,3,2,0,1,4,4,7,2,4,2,8,13,13,5,11,75,28,29,3,1,3,0,1,1,2,2,0,0,0,0,
2012-11-29 00:00:00.000,2012-11-29 09:24:11.141,2012-11-29 18:41:35.835,1354165200000,1354199051141,1354232495835,33444694,80,5569717,17061718,10813179,4,19,21,51,42,11,7,7,9,10,7,6,9,1,1,1,1,3,3,5,1,2,4,5,0,10,8,8,3,4,82,23,22,0,0,2,1,0,1,0,1,1,0,2,0,
2012-11-30 00:00:00.000,2012-11-30 09:26:37.170,2012-11-30 16:21:26.766,1354251600000,1354285597170,1354310486766,24889596,327,5388800,16633552,2866917,11,30,35,88,76,13,17,18,17,14,9,7,13,4,2,3,7,3,5,7,3,5,6,2,9,18,26,26,7,3,167,64,64,2,2,1,1,0,2,1,4,3,2,3,5,
2012-12-01 00:00:00.000,2012-12-01 09:23:00.403,2012-12-01 17:15:25.315,1354338000000,1354371780403,1354400125315,28344912,237,9389428,17843388,1111859,3,44,44,67,159,13,12,14,10,9,9,15,15,8,9,2,14,1,8,5,28,25,12,4,13,35,21,21,9,8,183,87,81,3,2,1,3,1,3,0,2,2,0,0,4,
2012-12-02 00:00:00.000,2012-12-02 11:21:16.828,2012-12-02 17:06:19.467,1354424400000,1354465276828,1354485979467,20702639,39,6628421,14074179,0,1,27,28,91,144,28,18,14,9,16,6,14,9,13,6,12,18,10,5,11,10,9,15,7,5,26,33,33,17,5,172,74,71,1,5,2,2,1,3,0,6,6,4,1,2,
2012-12-04 00:00:00.000,2012-12-04 10:01:21.055,2012-12-04 17:28:24.610,1354597200000,1354633281055,1354660104610,26823555,56,3973375,22850124,0,1,19,20,31,37,6,7,6,6,2,4,3,2,2,2,4,4,1,8,1,0,4,3,1,2,2,11,11,4,4,57,20,19,3,0,1,1,0,0,0,2,2,1,1,0,
2012-12-05 00:00:00.000,2012-12-05 09:16:23.182,2012-12-05 15:03:04.655,1354683600000,1354716983182,1354737784655,20801473,88,840980,8271389,11689016,2,6,7,17,7,4,5,2,4,0,2,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2012-12-06 00:00:00.000,2012-12-06 10:56:59.008,2012-12-06 19:30:45.239,1354770000000,1354809419008,1354840245239,30826231,59,1104485,29721687,0,1,6,7,1,29,0,0,0,0,0,1,5,2,1,2,0,4,0,1,0,6,3,2,1,2,5,1,1,2,1,14,10,9,0,0,0,0,0,0,0,0,1,0,0,0,
2012-12-07 00:00:00.000,2012-12-07 09:14:04.870,2012-12-07 14:56:40.297,1354856400000,1354889644870,1354910200297,20555427,20,3530761,17024646,0,1,15,16,47,85,14,8,12,6,4,3,10,9,6,5,10,4,8,5,5,4,4,3,7,5,23,21,21,11,8,79,40,35,1,0,2,1,1,2,2,1,4,3,4,0,
2012-12-08 00:00:00.000,2012-12-08 09:49:33.680,2012-12-08 16:34:49.439,1354942800000,1354978173680,1355002489439,24315759,22,7268425,17047312,0,1,37,38,140,125,27,14,26,28,30,15,18,16,10,12,6,4,5,5,7,5,14,9,1,13,21,28,28,19,25,230,84,80,2,3,1,6,1,1,4,2,1,4,0,3,
2012-12-09 00:00:00.000,2012-12-09 11:54:11.699,2012-12-09 16:47:36.368,1355029200000,1355072051699,1355089656368,17604669,21,3846707,13757941,0,1,19,19,41,73,9,10,12,5,5,0,7,8,4,3,11,8,5,3,3,3,6,5,2,5,16,13,13,8,1,64,20,21,0,3,1,0,1,1,0,1,2,2,2,0,
2012-12-11 00:00:00.000,2012-12-11 09:14:11.561,2012-12-11 16:29:39.436,1355202000000,1355235251561,1355261379436,26127875,95,2199303,23928477,0,1,10,11,27,43,9,0,5,7,3,3,4,12,4,1,2,4,2,1,2,0,2,4,2,3,2,5,5,3,0,68,30,25,0,0,1,1,0,2,0,0,1,0,0,0,
2012-12-12 00:00:00.000,2012-12-12 09:32:49.047,2012-12-12 16:38:46.077,1355288400000,1355322769047,1355348326077,25557030,425,2259396,23297209,0,1,9,10,17,41,6,2,0,1,1,7,4,4,1,0,1,13,3,3,1,4,4,0,2,1,0,6,6,5,2,37,21,19,0,0,0,0,0,0,1,1,1,0,1,2,
2012-12-13 00:00:00.000,2012-12-13 09:44:43.366,2012-12-13 19:22:45.058,1355374800000,1355409883366,1355444565058,34681692,81,3755401,30926210,0,1,17,18,34,60,7,7,8,2,8,2,6,8,3,5,0,2,4,2,7,1,6,7,3,6,9,15,15,4,3,96,42,37,4,1,0,2,0,2,1,4,0,0,0,1,
